SRC_CT_Country;POST_class;POST_res_zip;POST_res_city;POST_res_str;POST_res_hno;POST_hno_check;POST_res_pobox_class;POST_res_pobox;COOR_city_valid;COOR_valid_for;COOR_class;DUP_type;DUP_comp;PA_MOVE_class;PA_CLEAN_class;PA_CLEAN_infoType;MOVE_AT_class;MOVE_AT_InfoTyp;ABIS_class;ROBINSON_class;ROBINSON_simil;PHONE_res_phone;PHONE_res_person;PHONE_res_household;EMAIL_validSyntax;TELNO_type;TELNO_validPattern;selected_cname;selected_validation;selected_dup;selected_pamove;selected_ABIS;selected_paclean;selected_paaustria;selected_robinson;selected_phone;selected_emailSyntax;selected_telSysntax;selected_namensAnalyse;NameAnalysis_gender
CH;1;OK;OK;OK;OK;OK;0;NC;;2;1;1;0;;;;;;;;;;;;OK;NI;NI;;1;1;;;;;;;1;1;1;8
AT;2;C;OK;OK;OK;OK;0;NC;;2;1;1;0;;;;;;;;;;;;OK;1;OK;;1;1;;;;1;;;1;1;1;2
DE;1;OK;OK;OK;OK;OK;0;NC;;2;1;1;0;;;;;;;;0;3;5;2;OK;1;OK;;1;1;1;1;1;;1;1;1;1;1;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HU;2;OK;OK;C;OK;;0;NC;1;5;3;1;0;;;;;;;;;;;;OK;NI;NI;;1;1;;;;;;;1;1;1;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HU;5;NI;NI;NI;NI;;0;NC;;;5;1;0;;;;;;;;;;;;OK;NI;NI;;1;1;;;;;;;1;1;1;8
DE;3;OK;OK;C;OK;OK;0;NC;;2;1;1;0;;;;;;;;0;5;5;5;OK;1;OK;;1;1;1;1;1;;1;1;1;1;1;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DE;1;OK;OK;OK;OK;OK;0;NC;;2;1;1;0;;;;;;;;0;6;5;5;OK;NI;NI;;1;1;1;1;1;;1;1;1;1;1;1
DE;2;OK;OK;C;OK;OK;0;NC;;2;1;1;0;;;;;;;;0;3;5;2;NI;1;OK;;1;1;1;1;1;;1;1;1;1;1;1
AT;1;OK;OK;OK;OK;OK;0;NC;;2;1;1;0;;;;;;;;;;;;OK;6;OK;;1;1;;;;1;;;1;1;1;1
